id,first_name,last_name,position,team_id,team_abbreviation,team_city,height_feet,height_inches,weight_pounds
14,Ike,Anigbogu,C,12,IND,Indiana,,,
25,Ron,Baker,G,20,NYK,New York,,,
47,Jabari,Bird,G,2,BOS,Boston,,,
67,MarShon,Brooks,G,15,MEM,Memphis,,,
71,Lorenzo,Brown,G,28,TOR,Toronto,,,
90,Omri,Casspi,F,15,MEM,Memphis,,,
1,Alex,Abrines,G,21,OKC,Oklahoma City,6.0,6.0,200.0
119,Tyler,Davis,C,21,OKC,Oklahoma City,,,
149,Keenan,Evans,G,9,DET,Detroit,,,
179,Marcin,Gortat,C,13,LAC,LA,,,
1593,Andrew,Bogut,F,10,GSW,Golden State,,,
241,Amir,Johnson,C-F,23,PHI,Philadelphia,6.0,9.0,240.0
392,Malachi,Richardson,G,29,UTA,Utah,,,
281,Zach,Lofton,G,9,DET,Detroit,,,
263,Kosta,Koufos,C,26,SAC,Sacramento,7.0,0.0,245.0
382,Billy,Preston,F,6,CLE,Cleveland,,,
384,Zhou,Qi,F-C,11,HOU,Houston,,,
388,Zach,Randolph,F,26,SAC,Sacramento,,,
430,DJ,Stephens,G-F,15,MEM,Memphis,,,
437,Milos,Teodosic,G,13,LAC,LA,,,
448,Gary,Trent Jr.,G,25,POR,Portland,,,
494,Michael,Smith,,2,BOS,Boston,,,
495,John,Morton,,6,CLE,Cleveland,,,
496,Howard,Wright,,1,ATL,Atlanta,,,
497,Michael,Ansley,,22,ORL,Orlando,,,
14,Ike,Anigbogu,C,12,IND,Indiana,,,
25,Ron,Baker,G,20,NYK,New York,,,
47,Jabari,Bird,G,2,BOS,Boston,,,
67,MarShon,Brooks,G,15,MEM,Memphis,,,
71,Lorenzo,Brown,G,28,TOR,Toronto,,,
90,Omri,Casspi,F,15,MEM,Memphis,,,
1,Alex,Abrines,G,21,OKC,Oklahoma City,6.0,6.0,200.0
119,Tyler,Davis,C,21,OKC,Oklahoma City,,,
149,Keenan,Evans,G,9,DET,Detroit,,,
179,Marcin,Gortat,C,13,LAC,LA,,,
1593,Andrew,Bogut,F,10,GSW,Golden State,,,
241,Amir,Johnson,C-F,23,PHI,Philadelphia,6.0,9.0,240.0
392,Malachi,Richardson,G,29,UTA,Utah,,,
281,Zach,Lofton,G,9,DET,Detroit,,,
263,Kosta,Koufos,C,26,SAC,Sacramento,7.0,0.0,245.0
382,Billy,Preston,F,6,CLE,Cleveland,,,
384,Zhou,Qi,F-C,11,HOU,Houston,,,
388,Zach,Randolph,F,26,SAC,Sacramento,,,
430,DJ,Stephens,G-F,15,MEM,Memphis,,,
437,Milos,Teodosic,G,13,LAC,LA,,,
448,Gary,Trent Jr.,G,25,POR,Portland,,,
494,Michael,Smith,,2,BOS,Boston,,,
495,John,Morton,,6,CLE,Cleveland,,,
496,Howard,Wright,,1,ATL,Atlanta,,,
497,Michael,Ansley,,22,ORL,Orlando,,,
498,John,Salley,,9,DET,Detroit,,,
499,Dan,Schayes,,17,MIL,Milwaukee,,,
500,Mark,Eaton,,29,UTA,Utah,,,
501,Kevin,Johnson,,24,PHX,Phoenix,,,
502,Danny,Ainge,,25,POR,Portland,,,
503,Kenny,Smith,,11,HOU,Houston,,,
504,Randy,Breuer,,18,MIN,Minnesota,,,
505,Herb,Williams,,7,DAL,Dallas,,,
