Name,Rating,Expertise,Number_of_Employees,Type,Age,Location,Highly_Rated_For,Critically_Rated_For
TCS,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,55 years old,Mumbai +314 more,"Job Security, Work Life Balance","Job Security, Work Life Balance"
Accenture,4.0,IT Services & Consulting,1 Lakh+ Employees,Public,34 years old,Dublin +156 more,"Company Culture, Job Security, Skill Development / Learning",N/A
Cognizant,3.9,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,29 years old,Teaneck. New Jersey. +132 more,Skill Development / Learning,N/A
Wipro,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,78 years old,Bangalore/Bengaluru +261 more,Job Security,N/A
ICICI Bank,4.0,Banking,1 Lakh+ Employees,Public,29 years old,Mumbai +1231 more,"Job Security, Skill Development / Learning, Company Culture",N/A
HDFC Bank,3.9,Banking,1 Lakh+ Employees,Public,29 years old,Mumbai +1468 more,"Job Security, Skill Development / Learning",N/A
Infosys,3.9,IT Services & Consulting,1 Lakh+ Employees,Public,42 years old,Bengaluru/Bangalore +153 more,"Job Security, Company Culture, Skill Development / Learning",N/A
Capgemini,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,56 years old,Paris +106 more,"Job Security, Work Life Balance, Skill Development / Learning",N/A
Tech Mahindra,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,37 years old,Pune +247 more,N/A,N/A
HCLTech,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,32 years old,Noida +162 more,Job Security,Job Security
Genpact,3.9,IT Services & Consulting,1 Lakh+ Employees,Public,26 years old,New York +93 more,"Job Security, Skill Development / Learning, Work Life Balance",N/A
Axis Bank,3.8,Banking,50k-1 Lakh Employees,Public,30 years old,Mumbai +1250 more,Job Security,N/A
Concentrix Corporation,3.9,BPO,50k-1 Lakh Employees,Public,40 years old,Fremont +100 more,"Job Security, Company Culture",N/A
Amazon,4.1,Internet,1 Lakh+ Employees,Public,29 years old,Seattle +413 more,"Company Culture, Salary & Benefits, Work Life Balance",N/A
Reliance Jio,3.9,Telecom,50k-1 Lakh Employees,Public,16 years old,Navi Mumbai +1112 more,"Job Security, Skill Development / Learning",N/A
IBM,4.1,Software Product,50k-1 Lakh Employees,Public,112 years old,Armonk +140 more,"Work Life Balance, Job Security, Skill Development / Learning",N/A
Larsen & Toubro Limited,4.0,Engineering & Construction,10k-50k Employees,Public,85 years old,Mumbai +604 more,"Job Security, Skill Development / Learning",N/A
Reliance Retail,3.9,Retail,1 Lakh+ Employees,17 years old,Navi Mumbai +937 more,Navi Mumbai +937 more,"Skill Development / Learning, Job Security",N/A
HDB Financial Services,4.0,NBFC,1 Lakh+ Employees,16 years old,Ahmedabad +912 more,Ahmedabad +912 more,"Skill Development / Learning, Job Security, Company Culture",N/A
Teleperformance,3.6,BPO,50k-1 Lakh Employees,Forbes Global 2000,45 years old,Paris +144 more,N/A,N/A
Vodafone Idea,4.2,5k-10k Employees,Public,5 years old,Mumbai +614 more,Mumbai +614 more,"Company Culture, Work Life Balance, Skill Development / Learning",N/A
BYJU'S,3.1,EdTech,10k-50k Employees,Indian Unicorn,12 years old,Bangalore +297 more,N/A,"Job Security, Work Life Balance, Company Culture"
Deloitte,4.0,Accounting & Auditing,1 Lakh+ Employees,178 years old,London +152 more,London +152 more,"Job Security, Skill Development / Learning, Salary & Benefits",N/A
Kotak Mahindra Bank,3.8,Banking,50k-1 Lakh Employees,Public,20 years old,Mumbai +538 more,Job Security,N/A
Reliance Industries,4.0,Oil & Gas,Public,46 years old,Navi Mumbai +616 more,Navi Mumbai +616 more,"Job Security, Skill Development / Learning, Work Life Balance",N/A
Bharti Airtel,4.0,Telecom,10k-50k Employees,Public,28 years old,Gurgaon/Gurugram +622 more,"Skill Development / Learning, Job Security, Company Culture",N/A
Tata Motors,4.2,Automobile,10k-50k Employees,Public,78 years old,Pune +436 more,"Job Security, Skill Development / Learning, Company Culture",N/A
iEnergizer,4.5,BPO,10k-50k Employees,23 years old,Noida +24 more,Noida +24 more,"Company Culture, Skill Development / Learning, Job Security",N/A
Flipkart,4.1,Internet,10k-50k Employees,Public,16 years old,Bangalore +512 more,"Skill Development / Learning, Company Culture, Job Security",N/A
WNS,3.5,BPO,10k-50k Employees,27 years old,Mumbai +33 more,Mumbai +33 more,Job Security,Job Security
IndusInd Bank,3.7,Banking,10k-50k Employees,Public,29 years old,Gurgaon/Gurugram +648 more,N/A,N/A
Mahindra & Mahindra,4.1,Automobile,1 Lakh+ Employees,Public,78 years old,Mumbai +464 more,"Job Security, Skill Development / Learning, Company Culture",N/A
Ernst & Young,3.6,Accounting & Auditing,50k-1 Lakh Employees,21 years old,London +94 more,London +94 more,Job Security,N/A
AU Small Finance Bank,4.5,Banking,10k-50k Employees,Fortune India 500,27 years old,Jaipur +392 more,"Skill Development / Learning, Job Security, Company Culture",N/A
Infosys BPM,3.9,BPO,10k-50k Employees,21 years old,Bangalore/Bengaluru +60 more,Bangalore/Bengaluru +60 more,"Job Security, Company Culture, Skill Development / Learning",N/A
DXC Technology,3.8,IT Services & Consulting,10k-50k Employees,Public,6 years old,Minato +66 more,Work Life Balance,N/A
IDFC FIRST Bank,4.0,Banking,10k-50k Employees,Public,5 years old,Mumbai +523 more,"Salary & Benefits, Skill Development / Learning, Job Security",N/A
Conneqt Business Solutions,3.7,IT Services & Consulting,10k-50k Employees,21 years old,Mumbai +195 more,Mumbai +195 more,N/A,N/A
HDFC Life,4.0,Insurance,10k-50k Employees,Public,23 years old,Mumbai +519 more,"Skill Development / Learning, Job Security, Company Culture",N/A
LTIMindtree,3.7,IT Services & Consulting,50k-1 Lakh Employees,Public,24 years old,Bangalore/Bengaluru +45 more,N/A,N/A
Bajaj Finserv,4.0,Insurance,10k-50k Employees,Public,16 years old,Pune +819 more,"Salary & Benefits, Skill Development / Learning, Job Security",N/A
HSBC Group,4.1,Banking,10k-50k Employees,Forbes Global 2000,21 years old,Pune +56 more,"Job Security, Work Life Balance, Company Culture",N/A
Samsung,4.1,Consumer Electronics & Appliances,5k-10k Employees,Public,85 years old,Seoul +489 more,"Salary & Benefits, Skill Development / Learning, Job Security",N/A
Hinduja Global Solutions,3.9,Software Product,10k-50k Employees,Public,23 years old,Bangalore/Bengaluru +89 more,"Job Security, Company Culture, Work Life Balance",N/A
Mphasis,3.5,IT Services & Consulting,10k-50k Employees,Public,25 years old,Bangalore/Bengaluru +43 more,N/A,"Promotions / Appraisal, Salary & Benefits"
PwC,3.6,Accounting & Auditing,10k-50k Employees,Conglomerate,143 years old,London +84 more,Job Security,N/A
Startek,3.2,BPO,10k-50k Employees,Public,6 years old,Mumbai +65 more,N/A,"Promotions / Appraisal, Salary & Benefits"
Ericsson,4.3,10k-50k Employees,Forbes Global 2000,147 years old,Stockholm +141 more,Stockholm +141 more,"Company Culture, Work Life Balance, Job Security",N/A
Maruti Suzuki,4.2,Automobile,10k-50k Employees,Public,42 years old,New Delhi +344 more,"Job Security, Salary & Benefits, Skill Development / Learning",N/A
Yes Bank,3.9,Banking,10k-50k Employees,Public,19 years old,Mumbai +422 more,"Salary & Benefits, Work Life Balance",N/A
Asian Paints,4.1,Chemicals,5k-10k Employees,Public,81 years old,Mumbai +389 more,"Salary & Benefits, Skill Development / Learning, Job Security",N/A
Cipla Pharmaceutical,4.1,Pharma,10k-50k Employees,Public,88 years old,Mumbai +220 more,"Skill Development / Learning, Salary & Benefits, Company Culture",N/A
Dr. Reddy's,4.1,Pharma,10k-50k Employees,Public,39 years old,Hyderabad/Secunderabad +153 more,"Skill Development / Learning, Company Culture, Work Life Balance",N/A
Sutherland Global Services,3.7,IT Services & Consulting,10k-50k Employees,37 years old,Pittsford +49 more,Pittsford +49 more,N/A,N/A
UltraTech Cement,4.2,Building Material,10k-50k Employees,Public,40 years old,Mumbai +416 more,"Job Security, Skill Development / Learning, Company Culture",N/A
NTT DATA,4.0,IT Services & Consulting,10k-50k Employees,35 years old,Chiyoda City +46 more,Chiyoda City +46 more,"Job Security, Work Life Balance, Company Culture",N/A
EXL Service,3.8,Analytics & KPO,10k-50k Employees,24 years old,New York City +42 more,New York City +42 more,"Job Security, Work Life Balance",N/A
ICICI Prudential Life Insurance,4.1,Insurance,10k-50k Employees,Public,23 years old,Mumbai +434 more,"Job Security, Skill Development / Learning, Salary & Benefits",N/A
Bandhan Bank,3.8,Banking,50k-1 Lakh Employees,Public,22 years old,Kolkata +701 more,Job Security,N/A
Paytm,3.4,FinTech,10k-50k Employees,Public,13 years old,Noida +290 more,N/A,N/A
Jana Small Finance Bank,3.8,Banking,10k-50k Employees,Public,17 years old,Bangalore/Bengaluru +334 more,N/A,N/A
HCL Group,3.7,IT Services & Consulting,1 Lakh+ Employees,47 years old,Chennai +70 more,Chennai +70 more,Job Security,N/A
Lupin,4.1,Pharma,10k-50k Employees,Public,55 years old,Mumbai +159 more,"Skill Development / Learning, Company Culture, Work Life Balance",N/A
Indian Army,4.7,Defence & Aerospace,1 Lakh+ Employees,Public,128 years old,New Delhi +311 more,"Job Security, Company Culture, Work Satisfaction",N/A
Bajaj Finance,4.0,NBFC,10k-50k Employees,36 years old,Pune +725 more,Pune +725 more,"Salary & Benefits, Skill Development / Learning, Job Security",N/A
TATA Steel,4.1,Iron & Steel,1 Lakh+ Employees,Public,116 years old,Mumbai +156 more,"Job Security, Skill Development / Learning, Work Life Balance",N/A
Udaan,4.0,Internet,1k-5k Employees,Indian Unicorn,7 years old,Bangalore +330 more,"Salary & Benefits, Skill Development / Learning",N/A
L&T Infotech,3.8,IT Services & Consulting,10k-50k Employees,Public,27 years old,Mumbai +74 more,Job Security,N/A
